Poll,Date,Favorability,Unfavorability
Emerson,3/18 - 3/20,47,49
Economist/YouGov,3/12 - 3/15,43,53
Politico/Morning Consult,3/11 - 3/14,42,55
Economist/YouGov,3/5 - 3/8,49,48
Politico/Morning Consult,3/4 - 3/6,45,51
Wall Street Journal,3/2 - 3/7,41,56
Economist/YouGov,2/26 - 3/1,46,51
Politico/Morning Consult,2/25 - 2/27,42,55
Harvard-Harris,2/23 - 2/24,37,54
FOX News,2/19 - 2/22,43,56
Economist/YouGov,2/19 - 2/22,45,50
Politico/Morning Consult,2/19 - 2/21,46,51
Economist/YouGov,2/12 - 2/15,44,52
Politico/Morning Consult,2/12 - 2/13,44,54
Economist/YouGov,2/5 - 2/8,43,52
Federalist/Susquehanna,2/3 - 2/9,48,51
Politico/Morning Consult,2/5 - 2/6,42,55
Economist/YouGov,1/29 - 2/1,47,50
Politico/Morning Consult,1/28 - 1/30,45,52
Economist/YouGov,1/22 - 1/25,43,53
Politico/Morning Consult,1/22 - 1/23,43,54
Harvard-Harris,1/19 - 1/20,39,53
Economist/YouGov,1/15 - 1/18,45,52
NBC News,1/14 - 1/18,39,48
Politico/Morning Consult,1/15 - 1/16,43,54
Economist/YouGov,1/8 - 1/11,46,49
Politico/Morning Consult,1/8 - 1/9,44,53
Economist/YouGov,1/2 - 1/4,45,50
Economist/YouGov,12/19 - 12/21,44,52
Politico/Morning Consult,12/18 - 12/20,45,51
CNBC/Change Research (D),12/17 - 12/20,38,56
Economist/YouGov,12/12 - 12/14,48,50
Politico/Morning Consult,12/11 - 12/13,46,51
Economist/YouGov,12/4 - 12/7,45,53
Politico/Morning Consult,12/4 - 12/6,45,51
Harvard-Harris,11/30 - 12/2,44,51
Economist/YouGov,11/27 - 11/30,47,49
Economist/YouGov,11/20 - 11/23,47,50
Wall Street Journal,11/16 - 11/22,43,54
Economist/YouGov,11/14 - 11/16,45,52
Politico/Morning Consult,11/13 - 11/15,45,52
Economist/YouGov,11/6 - 11/9,48,48
Politico/Morning Consult,11/5 - 11/7,46,51
Federalist/Susquehanna,11/1 - 11/9,41,53
USA Today/Suffolk,11/3 - 11/5,39,58
Economist/YouGov,10/30 - 11/2,45,51
Politico/Morning Consult,10/30 - 11/1,46,51
Harvard-Harris,10/26 - 10/28,43,50
Economist/YouGov,10/24 - 10/26,48,48
NBC News,10/23 - 10/26,40,48
Politico/Morning Consult,10/22 - 10/24,47,51
FOX News,10/16 - 10/19,45,55
Economist/YouGov,10/16 - 10/19,46,51
Politico/Morning Consult,10/16 - 10/18,46,51
Quinnipiac,10/15 - 10/18,40,50
Economist/YouGov,10/9 - 10/12,46,52
Politico/Morning Consult,10/8 - 10/11,47,51
Economist/YouGov,10/3 - 10/5,45,51
Politico/Morning Consult,10/2 - 10/4,45,52
Economist/YouGov,9/26 - 9/28,47,51
Politico/Morning Consult,9/24 - 9/27,49,49
Economist/YouGov,9/18 - 9/21,49,49
Politico/Morning Consult,9/18 - 9/20,48,48
Harvard-Harris,9/15 - 9/16,46,49
Economist/YouGov,9/12 - 9/14,45,51
Politico/Morning Consult,9/10 - 9/13,48,49
Economist/YouGov,9/4 - 9/7,46,51
Economist/YouGov,8/28 - 8/31,48,49
Politico/Morning Consult,8/28 - 8/30,49,49
Economist/YouGov,8/21 - 8/24,50,47
Politico/Morning Consult,8/21 - 8/24,49,48
USA Today/Suffolk,8/19 - 8/23,41,56
NBC News,8/14 - 8/17,43,44
Economist/YouGov,8/14 - 8/17,50,47
Politico/Morning Consult,8/13 - 8/16,52,45
FOX News,8/7 - 8/10,51,48
Economist/YouGov,8/7 - 8/10,50,46
Politico/Morning Consult,8/7 - 8/9,51,46
Economist/YouGov,7/31 - 8/3,51,46
Politico/Morning Consult,7/31 - 8/2,52,45
Harvard-Harris,7/28 - 7/29,53,42
Economist/YouGov,7/24 - 7/27,50,46
Politico/Morning Consult,7/23 - 7/26,51,45
Economist/YouGov,7/17 - 7/20,52,45
Politico/Morning Consult,7/16 - 7/18,52,45
Economist/YouGov,7/10 - 7/13,52,46
Politico/Morning Consult,7/9 - 7/12,51,45
Economist/YouGov,7/3 - 7/6,51,46
Economist/YouGov,6/26 - 6/29,48,48
Politico/Morning Consult,6/25 - 6/28,52,45
Economist/YouGov,6/20 - 6/22,51,46
Politico/Morning Consult,6/18 - 6/20,53,44
Harvard-Harris,6/15 - 6/17,54,39
Economist/YouGov,6/13 - 6/15,50,46
Politico/Morning Consult,6/11 - 6/13,52,45
Economist/YouGov,6/6 - 6/8,51,44
Politico/Morning Consult,6/4 - 6/7,53,43
Economist/YouGov,5/29 - 6/1,51,43
Economist/YouGov,5/22 - 5/25,52,44
Politico/Morning Consult,5/21 - 5/24,55,41
Quinnipiac,5/18 - 5/24,49,42
Harvard-Harris,5/19 - 5/20,57,38
Economist/YouGov,5/15 - 5/18,51,44
Politico/Morning Consult,5/14 - 5/17,54,43
Economist/YouGov,5/8 - 5/11,52,45
Politico/Morning Consult,5/7 - 5/9,55,41
Economist/YouGov,5/1 - 5/4,51,45
Politico/Morning Consult,4/30 - 5/3,56,41
Harvard-Harris,4/27 - 4/29,55,39
Economist/YouGov,4/25 - 4/27,53,44
Politico/Morning Consult,4/24 - 4/26,58,39
FOX News,4/18 - 4/21,54,44
NBC News,4/17 - 4/20,50,36
Economist/YouGov,4/17 - 4/20,49,47
Economist/YouGov,4/10 - 4/13,51,46
Politico/Morning Consult,4/9 - 4/12,59,37
Economist/YouGov,4/3 - 4/6,53,44
Politico/Morning Consult,4/2 - 4/4,58,38
Economist/YouGov,3/27 - 3/30,49,47
Politico/Morning Consult,3/26 - 3/29,58,39
Harvard-Harris,3/24 - 3/25,56,39
Economist/YouGov,3/20 - 3/23,52,45
Politico/Morning Consult,3/19 - 3/22,57,39
Economist/YouGov,3/13 - 3/17,54,43
Politico/Morning Consult,3/12 - 3/15,60,36
Economist/YouGov,3/6 - 3/9,53,43
Politico/Morning Consult,3/6 - 3/8,58,38
NPR/PBS/Marist,3/3 - 3/8,52,42
Economist/YouGov,2/27 - 3/2,52,44
Politico/Morning Consult,2/26 - 3/1,57,39
Harvard-Harris,2/23 - 2/25,56,38
Economist/YouGov,2/19 - 2/22,52,43
Politico/Morning Consult,2/19 - 2/22,58,38
Economist/YouGov,2/13 - 2/16,54,43
Politico/Morning Consult,2/14 - 2/15,61,35
Economist/YouGov,2/6 - 2/9,53,43
Politico/Morning Consult,2/5 - 2/7,54,39
Economist/YouGov,1/31 - 2/2,51,45
Politico/Morning Consult,1/29 - 2/1,58,38
Quinnipiac,1/28 - 2/1,53,38
Economist/YouGov,1/24 - 1/26,54,44
Politico/Morning Consult,1/22 - 1/25,60,34
Economist/YouGov,1/16 - 1/19,53,43
Harvard-Harris,1/12 - 1/14,53,41
USA Today/Suffolk,1/12 - 1/15,50,40
NPR/PBS/Marist,1/11 - 1/13,49,44
NBC News/Wall St. Jrnl,1/10 - 1/13,44,40
Economist/YouGov,1/10 - 1/12,49,48
Politico/Morning Consult,1/6 - 1/7,54,42
Economist/YouGov,1/3 - 1/5,47,48
Economist/YouGov,12/19 - 12/22,48,49
Politico/Morning Consult,12/18 - 12/20,55,41
USA Today/Suffolk,12/16 - 12/20,49,40
Economist/YouGov,12/13 - 12/15,48,48
Politico/Morning Consult,12/11 - 12/14,57,39
FOX News,12/6 - 12/9,59,39
Economist/YouGov,12/6 - 12/8,49,43
Politico/Morning Consult,12/4 - 12/6,54,42
Quinnipiac,12/1 - 12/7,45,44
NPR/PBS/Marist,12/1 - 12/6,50,42
Economist/YouGov,11/21 - 11/24,50,48
Politico/Morning Consult,11/21 - 11/23,57,41
Harvard-Harris,11/17 - 11/19,50,44
Economist/YouGov,11/15 - 11/17,49,48
Politico/Morning Consult,11/13 - 11/16,55,41
Monmouth,11/12 - 11/16,44,46
Economist/YouGov,11/8 - 11/10,49,50
Economist/YouGov,10/31 - 11/2,51,48
NBC News/Wall St. Jrnl,10/29 - 10/31,45,42
Quinnipiac,10/28 - 11/1,49,42
FOX News,10/27 - 10/29,55,44
Economist/YouGov,10/25 - 10/27,53,46
USA Today/Suffolk,10/23 - 10/27,47,44
CNN,10/23 - 10/26,55,42
Politico/Morning Consult,10/19 - 10/22,51,45
Quinnipiac,10/16 - 10/19,49,44
Economist/YouGov,10/18 - 10/20,53,47
CNBC/Change Research (D),10/17 - 10/18,49,46
Politico/Morning Consult,10/16 - 10/18,54,42
NY Times/Siena,10/15 - 10/18,53,43
NBC News/Wall St. Jrnl,10/9 - 10/12,43,42
Economist/YouGov,10/11 - 10/13,49,50
Politico/Morning Consult,10/9 - 10/11,52,44
FOX News,10/3 - 10/6,58,41
Economist/YouGov,10/4 - 10/6,49,50
Reuters/Ipsos,10/2 - 10/6,58,42
CNBC/Change Research (D),10/2 - 10/4,47,46
Politico/Morning Consult,10/2 - 10/4,51,43
CNN,10/1 - 10/4,54,43
NBC News/Wall St. Jrnl,9/30 - 10/1,43,41
Economist/YouGov,9/27 - 9/30,49,49
NY Times/Siena,9/22 - 9/24,52,44
Harvard-Harris,9/22 - 9/24,48,45
Emerson,9/22 - 9/23,46,42
Economist/YouGov,9/20 - 9/22,50,48
CNBC/Change Research (D),9/18 - 9/20,48,48
Quinnipiac,9/17 - 9/21,45,45
Politico/Morning Consult,9/18 - 9/20,48,46
NBC News/Wall St. Jrnl,9/13 - 9/16,43,45
Economist/YouGov,9/13 - 9/15,50,48
Reuters/Ipsos,9/11 - 9/15,55,44
Politico/Morning Consult,9/11 - 9/14,51,43
FOX News,9/7 - 9/10,55,44
Economist/YouGov,9/6 - 9/8,52,46
Monmouth,9/3 - 9/8,47,44
CNBC/Change Research (D),9/4 - 9/6,43,49
Harvard-Harris,8/31 - 9/2,50,44
Economist/YouGov,8/30 - 9/1,50,46
CNN,8/28 - 9/1,52,43
USA Today/Suffolk,8/28 - 8/31,47,47
Quinnipiac,8/28 - 8/31,45,48
Politico/Morning Consult,8/28 - 8/30,50,46
Economist/YouGov,8/23 - 8/25,48,49
CNBC/Change Research (D),8/21 - 8/23,46,48
Politico/Morning Consult,8/21 - 8/23,48,46
Economist/YouGov,8/16 - 8/18,49,48
Politico/Morning Consult,8/14 - 8/16,46,48
CNN,8/12 - 8/15,46,47
ABC News/Wash Post,8/12 - 8/15,48,48
NBC News/Wall St. Jrnl,8/9 - 8/12,39,45
FOX News,8/9 - 8/12,53,43
Economist/YouGov,8/9 - 8/11,50,47
Politico/Morning Consult,8/9 - 8/10,47,48
CNBC/Change Research (D),8/7 - 8/9,45,50
Monmouth,8/6 - 8/10,42,47
NPR/PBS/Marist,8/3 - 8/11,44,49
GU Politics/Battleground,8/1 - 8/6,53,45
Economist/YouGov,8/2 - 8/4,49,49
Politico/Morning Consult,7/31 - 8/2,45,49
Emerson,7/29 - 7/30,41,46
Economist/YouGov,7/26 - 7/28,48,49
Politico/Morning Consult,7/24 - 7/26,45,48
CNBC/Change Research (D),7/24 - 7/26,43,48
Harvard-Harris,7/21 - 7/23,47,46
Economist/YouGov,7/19 - 7/21,49,49
Politico/Morning Consult,7/17 - 7/19,45,49
FOX News,7/12 - 7/15,54,43
Economist/YouGov,7/12 - 7/14,49,48
CNBC/Change Research (D),7/10 - 7/12,42,50
Politico/Morning Consult,7/10 - 7/12,45,48
Quinnipiac,7/9 - 7/13,45,43
NBC News/Wall St. Jrnl,7/9 - 7/12,34,46
Economist/YouGov,7/5 - 7/7,47,50
Economist/YouGov,6/28 - 6/30,48,50
Monmouth,6/26 - 6/30,44,44
Politico/Morning Consult,6/26 - 6/29,46,47
CNBC/Change Research (D),6/26 - 6/28,41,52
Economist/YouGov,6/21 - 6/23,46,50
Politico/Morning Consult,6/19 - 6/21,45,47
NY Times/Siena,6/17 - 6/22,52,42
Harvard-Harris,6/17 - 6/18,47,44
Economist/YouGov,6/14 - 6/16,48,50
FOX News,6/13 - 6/16,53,44
Quinnipiac,6/11 - 6/15,42,46
CNBC/Change Research (D),6/12 - 6/14,41,50
Politico/Morning Consult,6/12 - 6/14,44,48
Economist/YouGov,6/7 - 6/9,48,50
Politico/Morning Consult,6/6 - 6/7,46,46
Emerson,6/2 - 6/3,45,37
Economist/YouGov,5/31 - 6/2,47,51
NBC News/Wall St. Jrnl,5/28 - 6/2,37,38
Politico/Morning Consult,5/29 - 6/1,45,47
Monmouth,5/28 - 6/1,42,49
CNBC,5/29 - 5/31,40,49
ABC News/Wash Post,5/25 - 5/28,46,51
Economist/YouGov,5/23 - 5/26,46,51
Politico/Morning Consult,5/22 - 5/26,45,46
FOX News,5/17 - 5/20,48,46
Economist/YouGov,5/17 - 5/19,46,50
Politico/Morning Consult,5/15 - 5/18,44,48
Quinnipiac,5/14 - 5/18,45,41
CNBC,5/15 - 5/17,36,53
Harvard-Harris,5/13 - 5/14,47,44
CNN,5/7 - 5/10,45,50
Economist/YouGov,5/10 - 5/12,46,51
Politico/Morning Consult,5/8 - 5/10,43,47
Economist/YouGov,5/3 - 5/5,45,52
Politico/Morning Consult,5/2 - 5/3,43,45
CNBC,5/1 - 5/3,36,53
Monmouth,4/30 - 5/4,41,44
Economist/YouGov,4/26 - 4/28,46,50
Politico/Morning Consult,4/24 - 4/26,45,45
Emerson,4/26 - 4/28,40,41
USA Today/Suffolk,4/21 - 4/25,44,44
Economist/YouGov,4/19 - 4/21,47,47
Harvard-Harris,4/14 - 4/16,49,43
NBC News/Wall St. Jrnl,4/13 - 4/15,37,41
Economist/YouGov,4/12 - 4/14,46,51
Politico/Morning Consult,4/10 - 4/12,45,44
FOX News,4/4 - 4/7,48,47
Economist/YouGov,4/5 - 4/7,47,49
Monmouth,4/3 - 4/7,41,42
Quinnipiac,4/2 - 4/6,43,43
Politico/Morning Consult,4/3 - 4/5,43,47
Economist/YouGov,3/29 - 3/31,45,49
Politico/Morning Consult,3/27 - 3/29,46,44
Grinnell/Selzer,3/27 - 3/30,49,46
Harvard-Harris,3/24 - 3/26,48,41
Economist/YouGov,3/22 - 3/24,44,51
Politico/Morning Consult,3/20 - 3/22,44,46
Monmouth,3/18 - 2/22,43,43
Economist/YouGov,3/15 - 3/17,46,50
NBC News/Wall St. Jrnl,3/11 - 3/13,37,41
Economist/YouGov,3/8 - 3/10,43,52
Quinnipiac,3/5 - 3/8,45,40
CNN,3/4 - 3/7,49,46
Economist/YouGov,3/1 - 3/3,45,51
Harvard-Harris,2/26 - 2/28,45,46
FOX News,2/23 - 2/26,50,46
Economist/YouGov,2/23 - 2/25,41,55
Economist/YouGov,2/16 - 2/18,41,55
Economist/YouGov,2/9 - 2/11,41,52
Quinnipiac,2/5 - 2/9,43,50
Economist/YouGov,2/2 - 2/4,42,53
Harvard-Harris,1/27 - 1/29,46,44
Economist/YouGov,1/26 - 1/28,41,53
Economist/YouGov,1/19 - 1/21,41,53
Monmouth,1/16 - 1/20,42,49
Economist/YouGov,1/11 - 1/14,41,52
Economist/YouGov,1/5 - 1/7,41,51
Economist/YouGov,12/28 - 12/31,45,49
Economist/YouGov,12/22 - 12/24,41,52
Harvard-Harris,12/27 - 12/29,46,43
Economist/YouGov,12/14 - 12/17,43,51
Economist/YouGov,12/7 - 12/10,42,52
Quinnipiac,12/4 - 12/9,44,47
Monmouth,12/4 - 12/8,43,50
Economist/YouGov,12/1 - 12/3,42,51
Harvard-Harris,11/27 - 11/29,44,44
Economist/YouGov,11/24 - 11/26,43,51
Economist/YouGov,11/17 - 11/19,44,49
Economist/YouGov,11/10 - 11/12,41,51
Economist/YouGov,11/3 - 11/5,44,50
Economist/YouGov,10/27 - 10/29,44,48
Economist/YouGov,10/20 - 10/22,42,51
Grinnell/Selzer,10/17 - 10/23,47,44
Economist/YouGov,10/13 - 10/15,47,48
Quinnipiac,10/11 - 10/13,41,43
GU Politics/Battleground,10/6 - 10/10,45,50
Economist/YouGov,10/6 - 10/8,42,53
NPR/PBS/Marist,10/3 - 10/8,42,45
NBC News/Wall St. Jrnl,10/4 - 10/6,33,34
Economist/YouGov,9/28 - 10/1,42,51
Politico/Morning Consult,9/27 - 9/30,45,42
Economist/YouGov,9/22 - 9/24,45,46
Harvard-Harris,9/22 - 9/24,48,42
Economist/YouGov,9/14 - 9/17,44,49
Economist/YouGov,9/8 - 9/10,44,49
NPR/PBS/Marist,9/5 - 9/8,45,46
Economist/YouGov,9/1 - 9/3,42,51
Harvard-Harris,8/26 - 8/28,48,40
Economist/YouGov,8/24 - 8/27,46,46
Economist/YouGov,8/17 - 8/20,42,50
FOX News,8/11 - 8/15,50,42
NBC News/Wall St. Jrnl,8/10 - 8/14,34,38
Economist/YouGov,8/3 - 8/6,44,45
Economist/YouGov,7/27 - 7/30,48,46
Economist/YouGov,7/21 - 7/23,42,49
Politico/Morning Consult,7/19 - 7/21,45,39
Economist/YouGov,7/14 - 7/16,46,46
Economist/YouGov,7/7 - 7/9,44,47
CNN,6/28 - 6/30,47,44
Harvard-Harris,6/26 - 6/29,50,39
Economist/YouGov,6/30 - 7/2,44,50
Economist/YouGov,6/22 - 6/25,47,46
Economist/YouGov,6/16 - 6/18,44,48
Economist/YouGov,6/9 - 6/11,44,50
Economist/YouGov,6/2 - 6/4,46,47
Harvard-Harris,5/29 - 5/30,49,37
Economist/YouGov,5/26 - 5/28,46,46
Economist/YouGov,5/18 - 5/21,47,46
Quinnipiac,5/16 - 5/20,49,39
Economist/YouGov,5/5 - 5/7,47,45
Harvard-Harris,4/30 - 5/1,52,38
Economist/YouGov,4/27 - 4/30,49,43
CNN,4/25 - 4/28,51,41
Economist/YouGov,4/21 - 4/23,46,45
Politico/Morning Consult,4/19 - 4/21,48,37
Economist/YouGov,4/13 - 4/16,47,45
Economist/YouGov,4/6 - 4/9,49,45
Economist/YouGov,3/31 - 4/2,48,42
Harvard-Harris,3/25 - 3/26,54,33
Economist/YouGov,3/24 - 3/26,51,42
Economist/YouGov,3/17 - 3/19,52,39
Economist/YouGov,3/10 - 3/12,51,43
Harvard-Harris,2/19 - 2/21,54,32
Politico/Morning Consult,2/15 - 2/19,50,32
Politico/Morning Consult,2/1 - 2/2,52,35
Politico/Morning Consult,1/25 - 1/27,49,33
Politico/Morning Consult,1/18 - 1/22,49,33
Harvard-Harris,1/15 - 1/16,56,32
Harvard-Harris,12/24 - 12/25,54,31
Quinnipiac,12/12 - 12/17,53,33
Harvard-Harris,11/25 - 11/26,54,31
Harvard-Harris,10/26 - 10/28,52,35
Harvard-Harris,9/26 - 9/27,55,33
CNN,9/6 - 9/9,61,28
Harvard-Harris,8/22 - 8/23,51,35
